849670936924172289,2022-08-08 23:59:43+00:00, ,1556792300998639618,en,1,0,0,0,Twitter for iPhone,same! she dresses like rich me would 😭😍 https://t.co/adQU7hKk1w
1174554679822307329,2022-08-08 23:59:30+00:00, ,1556792249106644992,en,1,0,0,1,Twitter for iPhone,@LionBrosPodcast Summer dresses
1236458791962644480,2022-08-08 23:59:22+00:00, ,1556792215120265217,en,2,0,1,0,Twitter for Android,"one direction, all time low, 5sos, the hunger games, the best marvel era, frozen, skater dresses and skinny jeans, everyone had the same white samsung galaxy s3..."
1306498176854175744,2022-08-08 23:59:19+00:00, ,1556792202524872704,en,0,0,0,0,Twitter for iPhone,I bought 2 dresses for 1 gala bc I just couldn't decide &amp; one might feel better on. It's my logic &amp; I won't apologize for it 😌
1357815347991183366,2022-08-08 23:58:34+00:00, ,1556792011734261763,en,0,0,0,0,Twitter for iPhone,@gabrielafotoo @EmmetCohen He always dresses so well
1376947999901937671,2022-08-08 23:58:29+00:00, ,1556791994327781377,en,0,0,0,0,Poshmark,Check out this listing I just added to my #Poshmark closet: Zara T-Shirt Maxi Dress Beige. https://t.co/gJUwbAKhWK #shopmycloset @poshmarkapp
1356854132490043392,2022-08-08 23:58:12+00:00, ,1556791921271603201,en,7,0,1,1,Twitter for iPhone,the stranger things stans who see anything 80s and say “stranger things vibes” or “why is this stranger things” or see someone who dresses like they’re in the 80s or sumn and tells them they look like one of the characters bother me SO much. like yeah i’m aware it takes place +
1290248798976040961,2022-08-08 23:58:04+00:00, ,1556791889822638082,en,0,0,0,0,Kueez Metrics,These wedding dresses absolutely stole the show. 🤯😍
1515399695660580866,2022-08-08 23:57:43+00:00, ,1556791801633128448,en,3,0,0,1,Twitter for Android,"Trying to get back into #lolitafashion.
Old photos from Katsucon but this is one of my favorite dresses.
#aliceandthepirates https://t.co/UqsRdyFdnV"
1290248798976040961,2022-08-08 23:57:05+00:00, ,1556791640534163457,en,0,0,0,0,Kueez Metrics,"Guests couldn't keep their eyes off these dresses, and can you really blame them?!🤩"
1236669003688542210,2022-08-08 23:57:03+00:00, ,1556791631633940480,en,8,0,1,0,Twitter for Android,"@julie_neuhouser As a trans woman who dresses like Danny Zuko I've got nothing, they've owned us"
